seleccion,partidos,ganados,empatados,perdidos,goles_favor,goles_contra,victorias_pct,lambda_ataque,lambda_defensa
Spain,215,143,45,25,491,160,66.51,2.2837,0.7442
Brazil,215,139,44,30,444,147,64.65,2.0651,0.6837
Argentina,218,140,47,28,430,157,64.22,1.9725,0.7202
Iran,191,122,40,27,372,125,63.87,1.9476,0.6545
Belgium,192,119,39,32,429,170,61.98,2.2344,0.8854
France,216,132,44,37,412,180,61.11,1.9074,0.8333
England,204,124,46,31,408,145,60.78,2.0,0.7108
Portugal,209,125,46,35,438,170,59.81,2.0957,0.8134
Germany,215,128,45,40,502,232,59.53,2.3349,1.0791
Japan,229,135,42,50,476,208,58.95,2.0786,0.9083
Algeria,200,117,40,40,382,177,58.5,1.91,0.885
Netherlands,201,117,42,40,440,198,58.21,2.1891,0.9851
Morocco,194,112,47,33,323,119,57.73,1.6649,0.6134
Senegal,190,109,48,30,302,136,57.37,1.5895,0.7158
Ivory Coast,197,108,51,36,326,168,54.82,1.6548,0.8528
Mexico,286,155,64,65,456,267,54.2,1.5944,0.9336
South Korea,231,125,49,55,383,223,54.11,1.658,0.9654
United States,257,135,49,71,456,271,52.53,1.7743,1.0545
Australia,188,98,39,49,338,184,52.13,1.7979,0.9787
Italy,201,104,58,39,344,187,51.74,1.7114,0.9303
Sweden,203,104,35,62,338,223,51.23,1.665,1.0985
Turkey,186,93,40,51,300,218,50.0,1.6129,1.172
Colombia,188,94,53,38,277,149,50.0,1.4734,0.7926
Denmark,182,89,45,48,308,178,48.9,1.6923,0.978
Uzbekistan,187,90,39,55,267,177,48.13,1.4278,0.9465
Uruguay,198,94,54,48,309,192,47.47,1.5606,0.9697
Switzerland,186,88,53,43,316,191,47.31,1.6989,1.0269
Nigeria,206,96,63,47,315,191,46.6,1.5291,0.9272
Czech Republic,179,82,36,59,283,210,45.81,1.581,1.1732
Canada,167,74,44,47,272,163,44.31,1.6287,0.976
South Africa,212,93,79,38,284,164,43.87,1.3396,0.7736
Greece,171,75,45,51,206,162,43.86,1.2047,0.9474
Ghana,194,83,51,57,268,186,42.78,1.3814,0.9588
Romania,169,71,49,49,250,180,42.01,1.4793,1.0651
Chile,203,85,47,71,288,239,41.87,1.4187,1.1773
Iraq,239,100,69,67,280,232,41.84,1.1715,0.9707
Panama,237,99,58,77,328,287,41.77,1.384,1.211
Jordan,238,98,65,72,340,246,41.18,1.4286,1.0336
Cameroon,192,79,68,45,245,181,41.15,1.276,0.9427
Saudi Arabia,231,94,55,80,302,244,40.69,1.3074,1.0563
Guatemala,161,65,35,61,242,209,40.37,1.5031,1.2981
Ecuador,180,69,57,52,244,191,38.33,1.3556,1.0611
New Zealand,116,44,24,46,169,134,37.93,1.4569,1.1552
Peru,191,71,48,72,207,215,37.17,1.0838,1.1257
Kuwait,197,69,60,68,261,248,35.03,1.3249,1.2589
Venezuela,175,52,48,75,196,250,29.71,1.12,1.4286
Azerbaijan,157,36,42,79,142,248,22.93,0.9045,1.5796
Bolivia,159,31,30,98,143,320,19.5,0.8994,2.0126
