ranking,seleccion,partidos,victorias,empates,derrotas,goles_favor,goles_contra,diferencia_goles,pct_victorias,prom_goles
1,Germany,413,271,85,57,987,376,611,65.6,2.39
2,Spain,414,263,86,65,905,334,571,63.5,2.19
3,Iran,300,186,71,43,642,208,434,62.0,2.14
4,Netherlands,398,245,77,76,882,341,541,61.6,2.22
5,Brazil,469,283,100,86,998,416,582,60.3,2.13
6,Argentina,467,277,104,86,928,429,499,59.3,1.99
7,England,380,224,96,60,787,265,522,58.9,2.07
8,Italy,414,243,112,59,722,314,408,58.7,1.74
9,Japan,263,153,53,57,553,210,343,58.2,2.1
10,Mexico,383,222,77,84,761,347,414,58.0,1.99
11,France,395,227,89,79,765,359,406,57.5,1.94
12,United States,311,178,52,81,574,332,242,57.2,1.85
13,Russia,345,196,73,76,641,296,345,56.8,1.86
14,Portugal,387,218,87,82,732,366,366,56.3,1.89
15,Australia,228,128,53,47,505,190,315,56.1,2.21
16,Ivory Coast,333,185,80,68,587,290,297,55.6,1.76
17,Saudi Arabia,261,144,58,59,480,227,253,55.2,1.84
18,Croatia,239,132,59,48,414,216,198,55.2,1.73
19,Uzbekistan,182,100,36,46,345,188,157,54.9,1.9
20,Czech Republic,219,120,37,62,382,213,169,54.8,1.74
21,Egypt,344,188,79,77,584,292,292,54.7,1.7
22,South Korea,325,176,83,66,631,281,350,54.2,1.94
23,Yugoslavia,165,89,33,43,313,190,123,53.9,1.9
24,Belgium,374,199,73,102,714,414,300,53.2,1.91
25,China,248,131,45,72,494,222,272,52.8,1.99
26,New Zealand,91,48,18,25,223,98,125,52.7,2.45
27,Nigeria,361,189,101,71,574,304,270,52.4,1.59
28,Czechoslovakia,165,85,37,43,307,166,141,51.5,1.86
29,Cameroon,335,172,93,70,500,300,200,51.3,1.49
30,Sweden,369,188,73,108,652,400,252,50.9,1.77
31,Senegal,294,149,77,68,439,238,201,50.7,1.49
32,Ghana,317,160,78,79,476,267,209,50.5,1.5
33,Morocco,336,168,95,73,502,243,259,50.0,1.49
34,Iraq,221,110,50,61,384,214,170,49.8,1.74
35,Algeria,329,160,83,86,528,326,202,48.6,1.6
36,Uruguay,461,224,106,131,772,500,272,48.6,1.67
37,Romania,348,167,89,92,580,358,222,48.0,1.67
38,Qatar,238,114,47,77,399,259,140,47.9,1.68
39,Serbia,193,92,54,47,337,215,122,47.7,1.75
40,Tunisia,332,156,94,82,501,299,202,47.0,1.51
41,Austria,327,153,61,113,564,413,151,46.8,1.72
42,Puerto Rico,47,22,8,17,97,72,25,46.8,2.06
43,Scotland,323,151,71,101,472,366,106,46.7,1.46
44,Guadeloupe,43,20,3,20,77,55,22,46.5,1.79
45,Denmark,357,166,84,107,597,414,183,46.5,1.67
46,United Arab Emirates,222,103,45,74,376,238,138,46.4,1.69
47,Zambia,310,143,76,91,437,292,145,46.1,1.41
48,Ukraine,202,93,54,55,284,207,77,46.0,1.41
49,Poland,334,153,75,106,563,400,163,45.8,1.69
50,Slovakia,200,91,39,70,301,235,66,45.5,1.5
51,Oman,166,75,35,56,287,170,117,45.2,1.73
52,Costa Rica,293,132,72,89,465,336,129,45.1,1.59
53,South Africa,202,91,63,48,269,189,80,45.0,1.33
54,Saint Martin,20,9,2,9,37,29,8,45.0,1.85
55,Kuwait,203,91,47,65,340,214,126,44.8,1.67
56,Hungary,349,156,73,120,604,481,123,44.7,1.73
57,Jordan,168,75,43,50,266,173,93,44.6,1.58
58,German DR,99,44,22,33,168,127,41,44.4,1.7
59,Syria,181,80,39,62,328,205,123,44.2,1.81
60,Greece,324,143,69,112,420,389,31,44.1,1.3
61,Mali,252,111,71,70,345,252,93,44.0,1.37
62,Canada,194,85,46,63,305,223,82,43.8,1.57
63,Dominican Republic,62,27,11,24,118,80,38,43.5,1.9
64,New Caledonia,23,10,4,9,49,31,18,43.5,2.13
65,Samoa,21,9,1,11,32,53,-21,42.9,1.52
66,Tajikistan,82,35,17,30,138,104,34,42.7,1.68
67,DR Congo,317,135,84,98,468,358,110,42.6,1.48
68,Switzerland,345,146,94,105,544,426,118,42.3,1.58
69,Turkey,333,138,68,127,474,461,13,41.4,1.42
70,Cape Verde,129,53,27,49,144,141,3,41.1,1.12
71,Guinea,273,112,72,89,383,324,59,41.0,1.4
72,Panama,193,79,48,66,284,252,32,40.9,1.47
73,Honduras,241,97,53,91,360,304,56,40.2,1.49
74,Fiji,35,14,5,16,75,85,-10,40.0,2.14
75,Guatemala,155,62,36,57,256,201,55,40.0,1.65
76,Turkmenistan,85,34,12,39,130,136,-6,40.0,1.53
77,Bonaire,20,8,3,9,32,33,-1,40.0,1.6
78,Bahrain,183,73,45,65,243,197,46,39.9,1.33
79,Haiti,131,52,26,53,223,196,27,39.7,1.7
80,Norway,312,124,68,120,452,406,46,39.7,1.45
81,North Korea,162,64,37,61,214,203,11,39.5,1.32
82,Nicaragua,66,26,7,33,95,106,-11,39.4,1.44
83,Gabon,196,77,48,71,233,221,12,39.3,1.19
84,Bosnia and Herzegovina,178,70,38,70,270,248,22,39.3,1.52
85,Burkina Faso,220,86,55,79,287,277,10,39.1,1.3
86,El Salvador,200,78,37,85,283,277,6,39.0,1.42
87,Solomon Islands,41,16,6,19,85,104,-19,39.0,2.07
88,Wales,292,112,65,115,374,364,10,38.4,1.28
89,Uganda,214,82,48,84,227,244,-17,38.3,1.06
90,Jamaica,218,83,50,85,267,277,-10,38.1,1.22
91,Colombia,353,134,95,124,428,437,-9,38.0,1.21
92,Saint Lucia,50,19,4,27,64,104,-40,38.0,1.28
93,Israel,263,99,61,103,395,386,9,37.6,1.5
94,Bulgaria,331,124,81,126,439,460,-21,37.5,1.33
95,Republic of Ireland,341,126,105,110,453,394,59,37.0,1.33
96,Paraguay,398,147,98,153,525,578,-53,36.9,1.32
97,Saint Kitts and Nevis,65,24,13,28,110,121,-11,36.9,1.69
98,Slovenia,203,74,56,73,254,233,21,36.5,1.25
99,Sint Maarten,22,8,2,12,38,57,-19,36.4,1.73
100,Kyrgyzstan,80,29,12,39,116,127,-11,36.2,1.45
101,Chile,406,145,82,179,576,613,-37,35.7,1.42
102,Guyana,56,20,9,27,92,124,-32,35.7,1.64
103,Trinidad and Tobago,177,63,40,74,254,277,-23,35.6,1.44
104,Malaysia,159,56,31,72,250,274,-24,35.2,1.57
105,Bermuda,74,26,15,33,132,136,-4,35.1,1.78
106,Angola,220,77,74,69,268,227,41,35.0,1.22
107,Tonga,20,7,1,12,21,75,-54,35.0,1.05
108,Tahiti,32,11,4,17,41,53,-12,34.4,1.28
109,Suriname,82,28,18,36,130,120,10,34.1,1.59
110,Equatorial Guinea,112,38,18,56,103,155,-52,33.9,0.92
111,Kosovo,71,24,17,30,87,98,-11,33.8,1.23
112,Zimbabwe,193,65,52,76,222,234,-12,33.7,1.15
113,Sudan,222,74,45,103,226,300,-74,33.3,1.02
114,Vietnam Republic,24,8,2,14,35,51,-16,33.3,1.46
115,Papua New Guinea,21,7,3,11,38,41,-3,33.3,1.81
116,Lebanon,130,43,33,54,180,182,-2,33.1,1.38
117,Libya,163,54,37,72,178,202,-24,33.1,1.09
118,Curaçao,88,29,23,36,118,121,-3,33.0,1.34
119,Myanmar,67,22,8,37,79,178,-99,32.8,1.18
120,Northern Ireland,309,101,76,132,335,385,-50,32.7,1.08
121,Palestine,83,27,19,37,125,114,11,32.5,1.51
122,Vietnam,109,35,14,60,148,186,-38,32.1,1.36
123,Montenegro,107,34,26,47,125,151,-26,31.8,1.17
124,Antigua and Barbuda,66,21,9,36,89,133,-44,31.8,1.35
125,Mozambique,183,58,45,80,188,244,-56,31.7,1.03
126,Thailand,195,61,44,90,284,318,-34,31.3,1.46
127,Peru,372,115,92,165,447,552,-105,30.9,1.2
128,Togo,239,73,61,105,244,310,-66,30.5,1.02
129,Indonesia,169,51,34,84,224,313,-89,30.2,1.33
130,North Macedonia,186,56,42,88,234,282,-48,30.1,1.26
131,Kenya,210,63,57,90,224,264,-40,30.0,1.07
132,Madagascar,147,44,36,67,154,226,-72,29.9,1.05
133,Congo,218,65,58,95,234,301,-67,29.8,1.07
134,French Guiana,27,8,8,11,35,38,-3,29.6,1.3
135,Finland,297,88,52,157,319,527,-208,29.6,1.07
136,Vanuatu,17,5,2,10,35,55,-20,29.4,2.06
137,Benin,166,48,38,80,172,261,-89,28.9,1.04
138,Belize,59,17,8,34,65,112,-47,28.8,1.1
