id,fecha,grupo,local,visitante,elo_local,elo_visitante,lambda_local,lambda_visitante,prob_local,prob_empate,prob_visitante,goles_esperados_local,goles_esperados_visitante,marcador_probable
p1,2026-06-11,A,Mexico,Canada,1358,1285,0.9654,0.9433,34.72,31.73,33.54,0.97,0.94,0-0
p2,2026-06-12,A,United States,New Zealand,1302,1117,1.2716,0.9531,43.71,28.46,27.83,1.27,0.95,1-0
p3,2026-06-13,B,Argentina,Chile,1511,1210,1.4406,0.6339,56.7,26.93,16.36,1.44,0.63,1-0
p4,2026-06-14,B,Australia,Peru,1301,1162,1.2556,0.658,50.8,29.71,19.5,1.26,0.66,1-0
p5,2026-06-15,C,Brazil,Uruguay,1415,1315,1.2423,0.6619,50.3,29.9,19.8,1.24,0.66,1-0
p6,2026-06-16,C,Panama,Guatemala,1212,1071,1.1145,1.1292,35.24,28.79,35.97,1.11,1.13,1-1
p7,2026-06-17,D,England,France,1402,1443,1.0339,0.8411,39.24,31.87,28.89,1.03,0.84,1-0
p8,2026-06-18,D,Germany,Switzerland,1402,1297,1.4875,1.1373,45.24,25.77,28.99,1.49,1.14,1-1
p9,2026-06-19,E,Spain,Portugal,1488,1411,1.1524,0.9675,39.91,29.62,30.47,1.15,0.97,1-0
p10,2026-06-20,E,Belgium,Ivory Coast,1335,1279,1.1821,0.9089,42.17,29.65,28.17,1.18,0.91,1-0
p11,2026-06-21,F,Netherlands,Turkey,1375,1303,1.5916,0.9857,51.48,25.09,23.42,1.59,0.99,1-0
p12,2026-06-22,G,Japan,South Korea,1392,1321,1.2449,0.9343,43.4,28.83,27.77,1.24,0.93,1-0
