seleccion,victorias,probabilidad
Spain,105,10.5
Morocco,102,10.2
Japan,96,9.6
Australia,61,6.1
England,59,5.8999999999999995
Senegal,58,5.800000000000001
Ivory Coast,50,5.0
South Korea,47,4.7
France,46,4.6
Argentina,45,4.5
United States,35,3.5000000000000004
Mexico,35,3.5000000000000004
Iran,27,2.7
Belgium,26,2.6
Algeria,26,2.6
Germany,23,2.3
New Zealand,22,2.1999999999999997
Canada,21,2.1
Portugal,19,1.9
Brazil,16,1.6
Nigeria,15,1.5
Egypt,14,1.4000000000000001
Croatia,10,1.0
Denmark,9,0.8999999999999999
Netherlands,8,0.8
Saudi Arabia,5,0.5
Colombia,4,0.4
DR Congo,4,0.4
Uruguay,4,0.4
Switzerland,3,0.3
Austria,3,0.3
Cameroon,1,0.1
Costa Rica,1,0.1
